Year,Month,Day,Place,Ozone,Dust,Micro_Dust
2016,1,1,성동구,0.004,77.0,39.0
2016,1,1,마포구,0.008,59.0,49.0
2016,1,1,동작대로,0.005,88.0,50.0
2016,1,1,서초구,0.006,76.0,42.0
2016,1,1,서대문구,0.007,69.0,39.0
2016,1,1,성북구,0.005,71.0,45.0
2016,1,1,관악구,0.009,66.0,44.0
2016,1,1,광진구,0.004,85.0,64.0
2016,1,1,강남구,0.006,73.0,44.0
2016,1,1,동작구,0.009,54.0,39.0
2016,1,1,동대문구,0.005,66.0,44.0
2016,1,1,도산대로,0.004,69.0,43.0
2016,1,1,도봉구,0.005,67.0,41.0
2016,1,1,노원구,0.003,68.0,49.0
2016,1,1,금천구,0.01,64.0,49.0
2016,1,1,구로구,0.007,56.0,41.0
2016,1,1,중구,0.005,61.0,35.0
2016,1,1,중랑구,0.004,66.0,41.0
2016,1,1,천호대로,0.002,66.0,47.0
2016,1,1,청계천로,0.004,62.0,24.0
2016,1,1,한강대로,0.005,80.0,47.0
2016,1,1,홍릉로,0.003,69.0,56.0
2016,1,1,송파구,0.004,64.0,39.0
2016,1,1,종로구,0.005,68.0,51.0
2016,1,1,양천구,0.008,82.0,65.0
2016,1,1,영등포구,0.006,80.0,40.0
2016,1,1,영등포로,0.003,87.0,49.0
2016,1,1,용산구,0.005,59.0,46.0
2016,1,1,은평구,0.01,58.0,35.0
2016,1,1,정릉로,0.006,71.0,43.0
2016,1,1,종로,0.004,72.0,36.0
2016,1,1,신촌로,0.004,87.0,40.0
2016,1,1,강남대로,0.004,85.0,52.0
2016,1,1,강동구,0.002,77.0,45.0
2016,1,1,강변북로,0.004,73.0,39.0
2016,1,1,강북구,0.004,77.0,52.0
2016,1,1,강서구,0.005,66.0,38.0
2016,1,1,공항대로,0.004,70.0,37.0
2016,1,2,신촌로,0.005,66.0,27.0
2016,1,2,양천구,0.014,59.0,40.0
2016,1,2,정릉로,0.01,57.0,30.0
2016,1,2,송파구,0.012,41.0,25.0
2016,1,2,영등포구,0.009,62.0,28.0
2016,1,2,영등포로,0.005,64.0,32.0
2016,1,2,용산구,0.008,43.0,30.0
2016,1,2,은평구,0.016,45.0,24.0
2016,1,2,동작대로,0.008,69.0,39.0
2016,1,2,종로,0.004,59.0,30.0
2016,1,2,광진구,0.007,58.0,41.0
