temperature,liminosity,radius,absolute_magnitude,star_type,star_color
3068,0.0024,0.17,16.12,0,Red
3042,0.0005,0.1542,16.6,0,Red
2600,0.0003,0.102,18.7,0,Red
2800,0.0002,0.16,16.65,0,Red
1939,0.000138,0.103,20.06,0,Red
2840,0.00065,0.11,16.98,0,Red
2637,0.00073,0.127,17.22,0,Red
2600,0.0004,0.096,17.4,0,Red
2650,0.00069,0.11,17.45,0,Red
2700,0.00018,0.13,16.05,0,Red
3600,0.0029,0.51,10.69,1,Red
3129,0.0122,0.3761,11.79,1,Red
3134,0.0004,0.196,13.21,1,Red
3628,0.0055,0.393,10.48,1,Red
2650,0.0006,0.14,11.782,1,Red
3340,0.0038,0.24,13.07,1,Red
2799,0.0018,0.16,14.79,1,Red
3692,0.00367,0.47,10.8,1,Red
3192,0.00362,0.1967,13.53,1,Red
3441,0.039,0.351,11.18,1,Red
25000,0.056,0.0084,10.58,2,Blue White
7740,0.00049,0.01234,14.02,2,White
7220,0.00017,0.011,14.23,2,White
8500,0.0005,0.01,14.5,2,White
16500,0.013,0.014,11.89,2,Blue White
12990,8.5e-05,0.00984,12.23,2,Yellowish White
8570,0.00081,0.0097,14.2,2,Blue white
7700,0.00011,0.0128,14.47,2,Yellowish White
11790,0.00015,0.011,12.59,2,Yellowish White
7230,8e-05,0.013,14.08,2,Pale yellow orange
39000,204000.0,10.6,-4.7,3,Blue
30000,28840.0,6.3,-4.2,3,Blue-white
15276,1136.0,7.2,-1.97,3,Blue-white
9700,74.0,2.89,0.16,3,Whitish
5800,0.81,0.9,5.05,3,yellow-white
8052,8.7,1.8,2.42,3,Whitish
6757,1.43,1.12,2.41,3,yellow-white
6380,1.35,0.98,2.93,3,yellow-white
5936,1.357,1.106,4.46,3,yellow-white
5587,0.819,0.99,5.03,3,yellow-white
3826,200000.0,19.0,-6.93,4,Red
3365,340000.0,23.0,-6.2,4,Red
3270,150000.0,88.0,-6.02,4,Red
3200,195000.0,17.0,-7.22,4,Red
3008,280000.0,25.0,-6.0,4,Red
3600,320000.0,29.0,-6.6,4,Red
3575,123000.0,45.0,-6.78,4,Red
3574,200000.0,89.0,-5.24,4,Red
3625,184000.0,84.0,-6.74,4,Red
33750,220000.0,26.0,-6.1,4,Blue
3490,270000.0,1520.0,-9.4,5,Red
3750,283000.0,1260.0,-7.63,5,Red
3834,272000.0,1183.0,-9.2,5,Red
3749,550000.0,1648.0,-8.05,5,Orange
3650,310000.0,1324.0,-7.79,5,Red
3450,263000.0,1349.0,-11.75,5,Red
3660,363000.0,1673.0,-11.92,5,Red
3450,174000.0,1284.0,-11.28,5,Red
3752,209000.0,955.0,-11.24,5,Red
3535,195000.0,1546.0,-11.36,5,Red
3341,0.0056,0.057,16.23,0,Red
3432,0.00067,0.19,16.94,0,Red
2983,0.00024,0.094,16.09,0,Red
2835,0.00034,0.0918,16.96,0,Red
2935,0.00014,0.116,18.89,0,Red
3295,0.00098,0.132,17.13,0,Red
2945,0.00032,0.093,18.34,0,Red
2817,0.00098,0.0911,16.45,0,Red
2774,0.00036,0.118,17.39,0,Red
2871,0.00072,0.12,19.43,0,Red
3345,0.021,0.273,12.3,1,Red
3607,0.022,0.38,10.12,1,Red
3304,0.0085,0.18,13.2,1,Red
3150,0.0088,0.35,11.94,1,Red
3550,0.004,0.291,10.89,1,Red
3180,0.001,0.35,11.76,1,Red
2890,0.0034,0.24,13.46,1,Red
3342,0.0015,0.307,11.87,1,Red
2621,0.0006,0.098,12.81,1,Red
3158,0.00135,0.161,13.98,1,Red
7100,0.00029,0.012,14.09,2,White-Yellow
10574,0.00014,0.0092,12.02,2,White
